2020中国大学排行榜(完整榜单)
校友会大学排名 软科大学排名 武书连大学排名 QS大学排名
泰晤士 ESI Usnews 更多排名
名次 学校名称 全国排名 星级排名 办学层次
11 商丘学院 25 5★ 中国一流民办大学
12 武汉东湖学院 32 5★ 中国一流民办大学
13 青岛滨海学院 34 5★ 中国一流民办大学
14 北京城市学院 36 6★ 中国顶尖民办大学
15 西安翻译学院 38 5★ 中国一流民办大学
16 武汉晴川学院 41 4★ 中国高水平民办大学
17 仰恩大学 42 5★ 中国一流民办大学
18 天津天狮学院 44 3★ 区域一流民办大学
19 上海杉达学院 47 5★ 中国一流民办大学
20 安阳学院 49 4★ 中国高水平民办大学
21 黑龙江东方学院 51 5★ 中国一流民办大学
22 郑州西亚斯学院 57 4★ 中国高水平民办大学
23 三江学院 62 4★ 中国高水平民办大学
24 重庆人文科技学院 63 4★ 中国高水平民办大学
25 无锡太湖学院 68 4★ 中国高水平民办大学
26 保定理工学院 84 4★ 中国高水平民办大学
27 皖江工学院 91 4★ 中国高水平民办大学
28 武汉设计工程学院 97 3★ 区域一流民办大学
29 成都文理学院 102 3★ 区域一流民办大学
30 南宁学院 106 3★ 区域一流民办大学
31 宁夏理工学院 107 3★ 区域一流民办大学
32 山东现代学院 110 1★ 区域知名民办大学
33 哈尔滨剑桥学院 113 2★ 区域高水平民办大学
34 云南工商学院 114 2★ 区域高水平民办大学
34 黑龙江工商学院 114 2★ 区域高水平民办大学
36 哈尔滨广厦学院 117 2★ 区域高水平民办大学
37 信阳学院 125 2★ 区域高水平民办大学
38 潍坊理工学院 127 1★ 区域知名民办大学
39 宿迁学院 134 1★ 区域知名民办大学
40 厦门华厦学院 149 1★ 区域知名民办大学
41 上海立达学院 158 1★ 区域知名民办大学
42 茅台学院 160 2★ 区域高水平民办大学
43 河北东方学院 161 1★ 区域知名民办大学
名次 学校名称 全国排名 星级排名 办学层次
1 吉林大学珠海学院 1 6★ 中国顶尖独立学院
2 四川大学锦江学院 3 6★ 中国顶尖独立学院
3 中山大学南方学院 5 6★ 中国顶尖独立学院
4 天津大学仁爱学院 9 6★ 中国顶尖独立学院
5 同济大学浙江学院 10 6★ 中国顶尖独立学院
6 东南大学成贤学院 11 6★ 中国顶尖独立学院
7 南开大学滨海学院 12 6★ 中国顶尖独立学院
8 中山大学新华学院 14 5★ 中国一流独立学院
9 南京大学金陵学院 16 6★ 中国顶尖独立学院
10 厦门大学嘉庚学院 17 5★ 中国一流独立学院
11 四川大学锦城学院 20 5★ 中国一流独立学院
12 北京理工大学珠海学院 21 5★ 中国一流独立学院
